firstname,middlename,lastname,sortname,name,namemod,nickname,caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,startdate,enddate,address,contact_form,fax,office,rss_url,leadership_title,party,bioguideid,birthday,cspanid,gender,govtrack_link,osid,pvsid,twitterid,youtubeid,phone,role_type,senator_class,senator_rank,state,title,title_long,website,how
Diana,L.,DeGette,"DeGette, Diana (Rep.) [D-CO1]",Rep. Diana DeGette [D-CO1],,,,115,,,TRUE,Representative for Colorado's 1st congressional district,1,1/3/17,1/3/19,2111 Rayburn HOB; Washington DC 20515-0601,,202-225-5657,2111 Rayburn House Office Building,http://degette.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,,Democrat,D000197,7/29/57,90293,female,https://www.govtrack.us/congress/members/diana_degette/400101,N00006134,561,RepDianaDeGette,RepDianaDeGette,202-225-4431,representative,,,CO,Rep.,Representative,https://degette.house.gov,
Rosa,L.,DeLauro,"DeLauro, Rosa (Rep.) [D-CT3]",Rep. Rosa DeLauro [D-CT3],,,,115,,,TRUE,Representative for Connecticut's 3rd congressional district,3,1/3/17,1/3/19,2413 Rayburn HOB; Washington DC 20515-0703,,202-225-4890,2413 Rayburn House Office Building,http://delauro.house.gov/index.php?format=feed&amp;type=rss,,Democrat,D000216,3/2/43,19040,female,https://www.govtrack.us/congress/members/rosa_delauro/400103,N00000615,26788,RosaDeLauro,rosadelauro,202-225-3661,representative,,,CT,Rep.,Representative,https://delauro.house.gov,
Mario,,Diaz-Balart,"Diaz-Balart, Mario (Rep.) [R-FL25]",Rep. Mario Diaz-Balart [R-FL25],,,,115,,,TRUE,Representative for Florida's 25th congressional district,25,1/3/17,1/3/19,440 Cannon HOB; Washington DC 20515-0925,,202-225-8576,440 Cannon House Office Building,http://mariodiazbalart.house.gov/rss.xml,,Republican,D000600,9/25/61,1003562,male,https://www.govtrack.us/congress/members/mario_diaz_balart/400108,N00025337,24312,MarioDB,MarioDiazBalart,202-225-4211,representative,,,FL,Rep.,Representative,https://mariodiazbalart.house.gov,
Lloyd,A.,Doggett,"Doggett, Lloyd (Rep.) [D-TX35]",Rep. Lloyd Doggett [D-TX35],,,,115,,,TRUE,Representative for Texas's 35th congressional district,35,1/3/17,1/3/19,2307 Rayburn HOB; Washington DC 20515-4335,,202-225-3073,2307 Rayburn House Office Building,http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw,,Democrat,D000399,10/6/46,36810,male,https://www.govtrack.us/congress/members/lloyd_doggett/400111,N00006023,21689,RepLloydDoggett,doggett,202-225-4865,representative,,,TX,Rep.,Representative,https://doggett.house.gov,
Michael,F.,Doyle,"Doyle, Michael â€œMikeâ€ù (Rep.) [D-PA14]",Rep. Michael â€œMikeâ€ù Doyle [D-PA14],Jr.,Mike,,115,,,TRUE,Representative for Pennsylvania's 14th congressional district,14,1/3/17,1/3/19,239 Cannon HOB; Washington DC 20515-3814,,202-225-3084,239 Cannon House Office Building,http://doyle.house.gov/rss.xml,,Democrat,D000482,8/5/53,36774,male,https://www.govtrack.us/congress/members/michael_doyle/400114,N00001373,21853,USRepMikeDoyle,CongressmanDoyle,202-225-2135,representative,,,PA,Rep.,Representative,https://doyle.house.gov,
John,J.,Duncan,"Duncan, John â€œJimmyâ€ù (Rep.) [R-TN2]",Rep. John â€œJimmyâ€ù Duncan [R-TN2],Jr.,Jimmy,,115,,,TRUE,Representative for Tennessee's 2nd congressional district,2,1/3/17,1/3/19,2207 Rayburn HOB; Washington DC 20515-4202,,202-225-6440,2207 Rayburn House Office Building,http://duncan.house.gov/rss.xml,,Republican,D000533,7/21/47,6114,male,https://www.govtrack.us/congress/members/john_duncan/400116,N00003209,27069,RepJohnDuncanJr,RepJohnDuncan,202-225-5435,representative,,,TN,Rep.,Representative,https://duncan.house.gov,
Eliot,L.,Engel,"Engel, Eliot (Rep.) [D-NY16]",Rep. Eliot Engel [D-NY16],,,,115,,,TRUE,Representative for New York's 16th congressional district,16,1/3/17,1/3/19,2462 Rayburn HOB; Washington DC 20515-3216,,202-225-5513,2462 Rayburn House Office Building,,,Democrat,E000179,2/18/47,6109,male,https://www.govtrack.us/congress/members/eliot_engel/400122,N00001003,26972,RepEliotEngel,engel2161,202-225-2464,representative,,,NY,Rep.,Representative,https://engel.house.gov,
Anna,G.,Eshoo,"Eshoo, Anna (Rep.) [D-CA18]",Rep. Anna Eshoo [D-CA18],,,,115,,,TRUE,Representative for California's 18th congressional district,18,1/3/17,1/3/19,241 Cannon HOB; Washington DC 20515-0518,,202-225-8890,241 Cannon House Office Building,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,,Democrat,E000215,12/13/42,26130,female,https://www.govtrack.us/congress/members/anna_eshoo/400124,N00007335,26741,RepAnnaEshoo,RepAnnaEshoo,202-225-8104,representative,,,CA,Rep.,Representative,http://eshoo.house.gov,
Trent,,Franks,"Franks, Trent (Rep.) [R-AZ8]",Rep. Trent Franks [R-AZ8],,,,115,,,TRUE,Representative for Arizona's 8th congressional district,8,1/3/17,1/3/19,2435 Rayburn HOB; Washington DC 20515-0308,,202-225-6328,2435 Rayburn House Office Building,http://franks.house.gov/rss.xml,,Republican,F000448,6/19/57,1003550,male,https://www.govtrack.us/congress/members/trent_franks/400141,N00006423,28399,RepTrentFranks,RepTrentFranks,202-225-4576,representative,,,AZ,Rep.,Representative,https://franks.house.gov,
Rodney,P.,Frelinghuysen,"Frelinghuysen, Rodney (Rep.) [R-NJ11]",Rep. Rodney Frelinghuysen [R-NJ11],,,,115,,,TRUE,Representative for New Jersey's 11th congressional district,11,1/3/17,1/3/19,2306 Rayburn HOB; Washington DC 20515-3011,,202-225-3186,2306 Rayburn House Office Building,http://frelinghuysen.house.gov/common/rss/?rss=3,,Republican,F000372,4/29/46,37781,male,https://www.govtrack.us/congress/members/rodney_frelinghuysen/400142,N00000684,22177,USRepRodney,RepFrelinghuysen,202-225-5034,representative,,,NJ,Rep.,Representative,https://frelinghuysen.house.gov,
Bob,W.,Goodlatte,"Goodlatte, Bob (Rep.) [R-VA6]",Rep. Bob Goodlatte [R-VA6],,,,115,,,TRUE,Representative for Virginia's 6th congressional district,6,1/3/17,1/3/19,2309 Rayburn HOB; Washington DC 20515-4606,,202-225-9681,2309 Rayburn House Office Building,http://goodlatte.house.gov/press_releases.rss,,Republican,G000289,9/22/52,27025,male,https://www.govtrack.us/congress/members/bob_goodlatte/400154,N00009154,27116,RepGoodlatte,RepBobGoodlatte,202-225-5431,representative,,,VA,Rep.,Representative,https://goodlatte.house.gov,
Kay,,Granger,"Granger, Kay (Rep.) [R-TX12]",Rep. Kay Granger [R-TX12],,,,115,,,TRUE,Representative for Texas's 12th congressional district,12,1/3/17,1/3/19,1026 Longworth HOB; Washington DC 20515-4312,,202-225-5683,1026 Longworth House Office Building,http://kaygranger.house.gov/rss.xml,,Republican,G000377,1/18/43,45709,female,https://www.govtrack.us/congress/members/kay_granger/400157,N00008799,334,RepKayGranger,RepKayGranger,202-225-5071,representative,,,TX,Rep.,Representative,https://kaygranger.house.gov,
Sam,B.,Graves,"Graves, Sam (Rep.) [R-MO6]",Rep. Sam Graves [R-MO6],,,,115,,,TRUE,Representative for Missouri's 6th congressional district,6,1/3/17,1/3/19,1135 Longworth HOB; Washington DC 20515-2506,,202-225-8221,1135 Longworth House Office Building,http://graves.house.gov/common/rss/index.cfm?rss=25,,Republican,G000546,11/7/63,89873,male,https://www.govtrack.us/congress/members/sam_graves/400158,N00013323,9425,RepSamGraves,,202-225-7041,representative,,,MO,Rep.,Representative,https://graves.house.gov,
Gene,Eugene,Green,"Green, Gene (Rep.) [D-TX29]",Rep. Gene Green [D-TX29],,,,115,,,TRUE,Representative for Texas's 29th congressional district,29,1/3/17,1/3/19,2470 Rayburn HOB; Washington DC 20515-4329,,202-225-9903,2470 Rayburn House Office Building,http://green.house.gov/rss.xml,,Democrat,G000410,10/17/47,26156,male,https://www.govtrack.us/congress/members/gene_green/400160,N00005870,27100,RepGeneGreen,RepGeneGreen,202-225-1688,representative,,,TX,Rep.,Representative,https://green.house.gov,
RaÃºl,M.,Grijalva,"Grijalva, RaÃºl (Rep.) [D-AZ3]",Rep. RaÃºl Grijalva [D-AZ3],,,,115,,,TRUE,Representative for Arizona's 3rd congressional district,3,1/3/17,1/3/19,1511 Longworth HOB; Washington DC 20515-0303,,202-225-1541,1511 Longworth House Office Building,http://grijalva.house.gov/common/rss/?rss=13,,Democrat,G000551,2/19/48,1003551,male,https://www.govtrack.us/congress/members/raul_grijalva/400162,N00025284,28253,RepraulGrijalva,raulgrijalvaaz07,202-225-2435,representative,,,AZ,Rep.,Representative,https://grijalva.house.gov,
Luis,V.,GutiÃ©rrez,"GutiÃ©rrez, Luis (Rep.) [D-IL4]",Rep. Luis GutiÃ©rrez [D-IL4],,,,115,,,TRUE,Representative for Illinois's 4th congressional district,4,1/3/17,1/3/19,2408 Rayburn HOB; Washington DC 20515-1304,,202-225-7810,2408 Rayburn House Office Building,http://gutierrez.house.gov/rss.xml,,Democrat,G000535,12/10/53,23476,male,https://www.govtrack.us/congress/members/luis_gutierrez/400163,N00004874,26841,RepGutierrez,repluisgutierrez,202-225-8203,representative,,,IL,Rep.,Representative,https://gutierrez.house.gov,
Alcee,L.,Hastings,"Hastings, Alcee (Rep.) [D-FL20]",Rep. Alcee Hastings [D-FL20],,,,115,,,TRUE,Representative for Florida's 20th congressional district,20,1/3/17,1/3/19,2353 Rayburn HOB; Washington DC 20515-0920,,202-225-1171,2353 Rayburn House Office Building,http://www.alceehastings.house.gov/news/rss.aspx,,Democrat,H000324,9/5/36,1858,male,https://www.govtrack.us/congress/members/alcee_hastings/400170,N00002884,26798,RepHastingsFL,RepAlceeHastings,202-225-1313,representative,,,FL,Rep.,Representative,https://alceehastings.house.gov,
Jeb,,Hensarling,"Hensarling, Jeb (Rep.) [R-TX5]",Rep. Jeb Hensarling [R-TX5],,,,115,,,TRUE,Representative for Texas's 5th congressional district,5,1/3/17,1/3/19,2228 Rayburn HOB; Washington DC 20515-4305,,202-226-4888,2228 Rayburn House Office Building,http://hensarling.house.gov/atom.xml,,Republican,H001036,5/29/57,1003619,male,https://www.govtrack.us/congress/members/jeb_hensarling/400175,N00024922,49827,RepHensarling,repjebhensarling,202-225-3484,representative,,,TX,Rep.,Representative,https://hensarling.house.gov,
Steny,H.,Hoyer,"Hoyer, Steny (Rep.) [D-MD5]",Rep. Steny Hoyer [D-MD5],,,,115,,,TRUE,Representative for Maryland's 5th congressional district,5,1/3/17,1/3/19,1705 Longworth HOB; Washington DC 20515-2005,,202-225-4300,1705 Longworth House Office Building,http://hoyer.house.gov/index.php?format=feed&amp;type=rss,Minority Whip,Democrat,H000874,6/14/39,1919,male,https://www.govtrack.us/congress/members/steny_hoyer/400189,N00001821,26890,WhipHoyer,LeaderHoyer,202-225-4131,representative,,,MD,Rep.,Representative,https://hoyer.house.gov,
John,H.,Isakson,"Isakson, John â€œJohnnyâ€ù (Sen.) [R-GA]",Sen. John â€œJohnnyâ€ù Isakson [R-GA],,Johnny,,115,116,117,TRUE,Senior Senator from Georgia,,1/3/17,1/3/23,131 Russell Senate Office Building Washington DC 20510,https://www.isakson.senate.gov/public/index.cfm/email-me,202-228-0724,131 Russell Senate Office Building,http://www.isakson.senate.gov/public/?a=RSS.Feed,,Republican,I000055,12/28/44,59135,male,https://www.govtrack.us/congress/members/john_isakson/400194,N00002593,1721,SenatorIsakson,SenatorIsakson,202-224-3643,senator,class3,senior,GA,Sen.,Senator,https://www.isakson.senate.gov,
Darrell,E.,Issa,"Issa, Darrell (Rep.) [R-CA49]",Rep. Darrell Issa [R-CA49],,,,115,,,TRUE,Representative for California's 49th congressional district,49,1/3/17,1/3/19,2269 Rayburn HOB; Washington DC 20515-0549,,202-225-3303,2269 Rayburn House Office Building,http://issa.house.gov/feed/,,Republican,I000056,11/1/53,90066,male,https://www.govtrack.us/congress/members/darrell_issa/400196,N00007017,16553,DarrellIssa,repdarrellissa,202-225-3906,representative,,,CA,Rep.,Representative,https://issa.house.gov,
Sheila,,Jackson Lee,"Jackson Lee, Sheila (Rep.) [D-TX18]",Rep. Sheila Jackson Lee [D-TX18],,,,115,,,TRUE,Representative for Texas's 18th congressional district,18,1/3/17,1/3/19,2187 Rayburn HOB; Washington DC 20515-4318,,202-225-3317,2187 Rayburn House Office Building,http://jacksonlee.house.gov/news/rss.aspx,,Democrat,J000032,1/12/50,36819,female,https://www.govtrack.us/congress/members/sheila_jackson_lee/400199,N00005818,21692,JacksonLeeTX18,TX18SJL,202-225-3816,representative,,,TX,Rep.,Representative,https://jacksonlee.house.gov,
Eddie,Bernice,Johnson,"Johnson, Eddie (Rep.) [D-TX30]",Rep. Eddie Johnson [D-TX30],,,,115,,,TRUE,Representative for Texas's 30th congressional district,30,1/3/17,1/3/19,2468 Rayburn HOB; Washington DC 20515-4330,,202-226-1477,2468 Rayburn House Office Building,http://ebjohnson.house.gov/common/rss//index.cfm?rss=21,,Democrat,J000126,12/3/35,23352,female,https://www.govtrack.us/congress/members/eddie_johnson/400204,N00008122,27098,RepEBJ,RepEddieBJohnson,202-225-8885,representative,,,TX,Rep.,Representative,https://ebjohnson.house.gov,
Sam,Robert,Johnson,"Johnson, Sam (Rep.) [R-TX3]",Rep. Sam Johnson [R-TX3],,,,115,,,TRUE,Representative for Texas's 3rd congressional district,3,1/3/17,1/3/19,2304 Rayburn HOB; Washington DC 20515-4303,,202-225-1485,2304 Rayburn House Office Building,http://samjohnson.house.gov/news/rss.aspx,,Republican,J000174,10/11/30,18711,male,https://www.govtrack.us/congress/members/sam_johnson/400206,N00008028,27079,SamsPressShop,RepSamJohnson,202-225-4201,representative,,,TX,Rep.,Representative,https://samjohnson.house.gov,
Walter,B.,Jones,"Jones, Walter (Rep.) [R-NC3]",Rep. Walter Jones [R-NC3],Jr.,,,115,,,TRUE,Representative for North Carolina's 3rd congressional district,3,1/3/17,1/3/19,2333 Rayburn HOB; Washington DC 20515-3303,,202-225-3286,2333 Rayburn House Office Building,http://jones.house.gov/rss.xml,,Republican,J000255,2/10/43,36693,male,https://www.govtrack.us/congress/members/walter_jones/400209,N00002299,21785,RepWalterJones,RepWalterJones,202-225-3415,representative,,,NC,Rep.,Representative,https://jones.house.gov,
Marcy,,Kaptur,"Kaptur, Marcy (Rep.) [D-OH9]",Rep. Marcy Kaptur [D-OH9],,,,115,,,TRUE,Representative for Ohio's 9th congressional district,9,1/3/17,1/3/19,2186 Rayburn HOB; Washington DC 20515-3509,,202-225-7711,2186 Rayburn House Office Building,http://kaptur.house.gov/index.php?format=feed&amp;type=rss,,Democrat,K000009,6/17/46,1458,female,https://www.govtrack.us/congress/members/marcy_kaptur/400211,N00003522,27016,RepMarcyKaptur,USRepMarcyKaptur,202-225-4146,representative,,,OH,Rep.,Representative,https://kaptur.house.gov,
Ron,James,Kind,"Kind, Ron (Rep.) [D-WI3]",Rep. Ron Kind [D-WI3],,,,115,,,TRUE,Representative for Wisconsin's 3rd congressional district,3,1/3/17,1/3/19,1502 Longworth HOB; Washington DC 20515-4903,,202-225-5739,1502 Longworth House Office Building,http://kind.house.gov/common/rss/?rss=52,,Democrat,K000188,3/16/63,45870,male,https://www.govtrack.us/congress/members/ron_kind/400218,N00004403,630,RepRonKind,RepRonKind,202-225-5506,representative,,,WI,Rep.,Representative,https://kind.house.gov,
Peter,T.,King,"King, Peter â€œPeteâ€ù (Rep.) [R-NY2]",Rep. Peter â€œPeteâ€ù King [R-NY2],,Pete,,115,,,TRUE,Representative for New York's 2nd congressional district,2,1/3/17,1/3/19,339 Cannon HOB; Washington DC 20515-3202,,202-226-2279,339 Cannon House Office Building,http://peteking.house.gov/rss.xml,,Republican,K000210,4/5/44,26487,male,https://www.govtrack.us/congress/members/peter_king/400219,N00001193,26968,RepPeteKing,RepPeterKing,202-225-7896,representative,,,NY,Rep.,Representative,https://peteking.house.gov,
Steve,A.,King,"King, Steve (Rep.) [R-IA4]",Rep. Steve King [R-IA4],,,,115,,,TRUE,Representative for Iowa's 4th congressional district,4,1/3/17,1/3/19,2210 Rayburn HOB; Washington DC 20515-1504,,202-225-3193,2210 Rayburn House Office Building,http://steveking.house.gov/index.php?format=feed&amp;type=rss,,Republican,K000362,5/28/49,1003590,male,https://www.govtrack.us/congress/members/steve_king/400220,N00025237,10853,SteveKingIA,stevekingia,202-225-4426,representative,,,IA,Rep.,Representative,https://steveking.house.gov,
James,R.,Langevin,"Langevin, James â€œJimâ€ù (Rep.) [D-RI2]",Rep. James â€œJimâ€ù Langevin [D-RI2],,Jim,,115,,,TRUE,Representative for Rhode Island's 2nd congressional district,2,1/3/17,1/3/19,2077 Rayburn HOB; Washington DC 20515-3902,,202-225-5976,2077 Rayburn House Office Building,http://langevin.house.gov/rss.xml,,Democrat,L000559,4/22/64,86608,male,https://www.govtrack.us/congress/members/james_langevin/400230,N00009724,55787,JimLangevin,jimlangevin,202-225-2735,representative,,,RI,Rep.,Representative,https://langevin.house.gov,
Rick,,Larsen,"Larsen, Rick (Rep.) [D-WA2]",Rep. Rick Larsen [D-WA2],,,,115,,,TRUE,Representative for Washington's 2nd congressional district,2,1/3/17,1/3/19,2113 Rayburn HOB; Washington DC 20515-4702,,202-225-4420,2113 Rayburn House Office Building,http://larsen.house.gov/rss.xml,,Democrat,L000560,6/15/65,86610,male,https://www.govtrack.us/congress/members/rick_larsen/400232,N00009759,56231,RepRickLarsen,congressmanlarsen,202-225-2605,representative,,,WA,Rep.,Representative,https://larsen.house.gov,
John,B.,Larson,"Larson, John (Rep.) [D-CT1]",Rep. John Larson [D-CT1],,,,115,,,TRUE,Representative for Connecticut's 1st congressional district,1,1/3/17,1/3/19,1501 Longworth HOB; Washington DC 20515-0701,,202-225-1031,1501 Longworth House Office Building,http://www.larson.house.gov/index.php?format=feed&amp;type=rss,,Democrat,L000557,7/22/48,36596,male,https://www.govtrack.us/congress/members/john_larson/400233,N00000575,17188,RepJohnLarson,RepJohnLarson,202-225-2265,representative,,,CT,Rep.,Representative,https://larson.house.gov,
Barbara,,Lee,"Lee, Barbara (Rep.) [D-CA13]",Rep. Barbara Lee [D-CA13],,,,115,,,TRUE,Representative for California's 13th congressional district,13,1/3/17,1/3/19,2267 Rayburn HOB; Washington DC 20515-0513,,202-225-9817,2267 Rayburn House Office Building,http://lee.house.gov/rss.xml,,Democrat,L000551,7/16/46,54579,female,https://www.govtrack.us/congress/members/barbara_lee/400237,N00008046,8315,RepBarbaraLee,RepLee,202-225-2661,representative,,,CA,Rep.,Representative,https://lee.house.gov,
Sander,M.,Levin,"Levin, Sander (Rep.) [D-MI9]",Rep. Sander Levin [D-MI9],,,,115,,,TRUE,Representative for Michigan's 9th congressional district,9,1/3/17,1/3/19,1236 Longworth HOB; Washington DC 20515-2209,,202-226-1033,1236 Longworth House Office Building,http://levin.house.gov/rss.xml,,Democrat,L000263,9/6/31,251,male,https://www.govtrack.us/congress/members/sander_levin/400238,N00003950,26918,RepSandyLevin,mi12yes,202-225-4961,representative,,,MI,Rep.,Representative,https://levin.house.gov,
John,R.,Lewis,"Lewis, John (Rep.) [D-GA5]",Rep. John Lewis [D-GA5],,,,115,,,TRUE,Representative for Georgia's 5th congressional district,5,1/3/17,1/3/19,343 Cannon HOB; Washington DC 20515-1005,,202-225-0351,343 Cannon House Office Building,http://johnlewis.house.gov/rss.xml,,Democrat,L000287,2/21/40,2528,male,https://www.govtrack.us/congress/members/john_lewis/400240,N00002577,26820,RepJohnLewis,repjohnlewis,202-225-3801,representative,,,GA,Rep.,Representative,https://johnlewis.house.gov,
Frank,A.,LoBiondo,"LoBiondo, Frank (Rep.) [R-NJ2]",Rep. Frank LoBiondo [R-NJ2],,,,115,,,TRUE,Representative for New Jersey's 2nd congressional district,2,1/3/17,1/3/19,2427 Rayburn HOB; Washington DC 20515-3002,,202-225-3318,2427 Rayburn House Office Building,http://lobiondo.house.gov/rss.xml,,Republican,L000554,5/12/46,30867,male,https://www.govtrack.us/congress/members/frank_lobiondo/400244,N00000851,21890,RepLoBiondo,USRepFrankLoBiondo,202-225-6572,representative,,,NJ,Rep.,Representative,https://lobiondo.house.gov,
Zoe,,Lofgren,"Lofgren, Zoe (Rep.) [D-CA19]",Rep. Zoe Lofgren [D-CA19],,,,115,,,TRUE,Representative for California's 19th congressional district,19,1/3/17,1/3/19,1401 Longworth HOB; Washington DC 20515-0519,,202-225-3336,1401 Longworth House Office Building,http://lofgren.house.gov/index.php?format=feed&amp;type=rss,,Democrat,L000397,12/21/47,36520,female,https://www.govtrack.us/congress/members/zoe_lofgren/400245,N00007479,21899,RepZoeLofgren,RepZoeLofgren,202-225-3072,representative,,,CA,Rep.,Representative,https://lofgren.house.gov,
Nita,M.,Lowey,"Lowey, Nita (Rep.) [D-NY17]",Rep. Nita Lowey [D-NY17],,,,115,,,TRUE,Representative for New York's 17th congressional district,17,1/3/17,1/3/19,2365 Rayburn HOB; Washington DC 20515-3217,,202-225-0546,2365 Rayburn House Office Building,http://www.house.gov/common/rss/?rss=18,,Democrat,L000480,7/5/37,6110,female,https://www.govtrack.us/congress/members/nita_lowey/400246,N00001024,26982,NitaLowey,nitalowey,202-225-6506,representative,,,NY,Rep.,Representative,https://lowey.house.gov,
Frank,D.,Lucas,"Lucas, Frank (Rep.) [R-OK3]",Rep. Frank Lucas [R-OK3],,,,115,,,TRUE,Representative for Oklahoma's 3rd congressional district,3,1/3/17,1/3/19,2405 Rayburn HOB; Washington DC 20515-3603,,202-225-8698,2405 Rayburn House Office Building,http://lucas.house.gov/rss.xml,,Republican,L000491,1/6/60,35692,male,https://www.govtrack.us/congress/members/frank_lucas/400247,N00005559,27032,RepFrankLucas,RepFrankLucas,202-225-5565,representative,,,OK,Rep.,Representative,https://lucas.house.gov,
Stephen,F.,Lynch,"Lynch, Stephen (Rep.) [D-MA8]",Rep. Stephen Lynch [D-MA8],,,,115,,,TRUE,Representative for Massachusetts's 8th congressional district,8,1/3/17,1/3/19,2268 Rayburn HOB; Washington DC 20515-2108,,202-225-3984,2268 Rayburn House Office Building,http://lynch.house.gov/rss.xml,,Democrat,L000562,3/31/55,1000222,male,https://www.govtrack.us/congress/members/stephen_lynch/400249,N00013855,4844,RepStephenLynch,RepLynch,202-225-8273,representative,,,MA,Rep.,Representative,https://lynch.house.gov,
Carolyn,B.,Maloney,"Maloney, Carolyn (Rep.) [D-NY12]",Rep. Carolyn Maloney [D-NY12],,,,115,,,TRUE,Representative for New York's 12th congressional district,12,1/3/17,1/3/19,2308 Rayburn HOB; Washington DC 20515-3212,,202-225-4709,2308 Rayburn House Office Building,http://maloney.house.gov/rss.xml,,Democrat,M000087,2/19/46,26162,female,https://www.govtrack.us/congress/members/carolyn_maloney/400251,N00000078,26978,RepMaloney,carolynbmaloney,202-225-7944,representative,,,NY,Rep.,Representative,https://maloney.house.gov,
Betty,Louise,McCollum,"McCollum, Betty (Rep.) [D-MN4]",Rep. Betty McCollum [D-MN4],,,,115,,,TRUE,Representative for Minnesota's 4th congressional district,4,1/3/17,1/3/19,2256 Rayburn HOB; Washington DC 20515-2304,,202-225-1968,2256 Rayburn House Office Building,http://mccollum.house.gov/rss.xml,,Democrat,M001143,7/12/54,86670,female,https://www.govtrack.us/congress/members/betty_mccollum/400259,N00012942,3812,BettyMcCollum04,,202-225-6631,representative,,,MN,Rep.,Representative,https://mccollum.house.gov,
James,P.,McGovern,"McGovern, James â€œJimâ€ù (Rep.) [D-MA2]",Rep. James â€œJimâ€ù McGovern [D-MA2],,Jim,,115,,,TRUE,Representative for Massachusetts's 2nd congressional district,2,1/3/17,1/3/19,438 Cannon HOB; Washington DC 20515-2102,,202-225-5759,438 Cannon House Office Building,http://mcgovern.house.gov/common/rss/?rss=15,,Democrat,M000312,11/20/59,45976,male,https://www.govtrack.us/congress/members/james_mcgovern/400263,N00000179,552,RepMcGovern,repjimmcgovern,202-225-6101,representative,,,MA,Rep.,Representative,https://mcgovern.house.gov,
Gregory,W.,Meeks,"Meeks, Gregory (Rep.) [D-NY5]",Rep. Gregory Meeks [D-NY5],,,,115,,,TRUE,Representative for New York's 5th congressional district,5,1/3/17,1/3/19,2234 Rayburn HOB; Washington DC 20515-3205,,202-226-4169,2234 Rayburn House Office Building,http://meeks.house.gov/rss.xml,,Democrat,M001137,9/25/53,53469,male,https://www.govtrack.us/congress/members/gregory_meeks/400271,N00001171,4360,GregoryMeeks,gwmeeks,202-225-3461,representative,,,NY,Rep.,Representative,https://meeks.house.gov,
Jerry,,Moran,"Moran, Jerry (Sen.) [R-KS]",Sen. Jerry Moran [R-KS],,,,115,116,117,TRUE,Junior Senator from Kansas,,1/3/17,1/3/23,521 Dirksen Senate Office Building Washington DC 20510,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,202-228-6966,521 Dirksen Senate Office Building,http://www.moran.senate.gov/public/index.cfm/rss/feed/,,Republican,M000934,5/29/54,45469,male,https://www.govtrack.us/congress/members/jerry_moran/400284,N00005282,542,JerryMoran,senatorjerrymoran,202-224-6521,senator,class3,junior,KS,Sen.,Senator,https://www.moran.senate.gov,
Tim,,Murphy,"Murphy, Tim (Rep.) [R-PA18]",Rep. Tim Murphy [R-PA18],,,,115,,,TRUE,Representative for Pennsylvania's 18th congressional district,18,1/3/17,1/3/19,2332 Rayburn HOB; Washington DC 20515-3818,,202-225-1844,2332 Rayburn House Office Building,http://murphy.house.gov/common/rss/?rss=44,,Republican,M001151,9/11/52,1003612,male,https://www.govtrack.us/congress/members/tim_murphy/400285,N00024992,9794,RepTimMurphy,TimMurphyPA18,202-225-2301,representative,,,PA,Rep.,Representative,https://murphy.house.gov,
Jerrold,L.,Nadler,"Nadler, Jerrold (Rep.) [D-NY10]",Rep. Jerrold Nadler [D-NY10],,,,115,,,TRUE,Representative for New York's 10th congressional district,10,1/3/17,1/3/19,2109 Rayburn HOB; Washington DC 20515-3210,,202-225-6923,2109 Rayburn House Office Building,http://nadler.house.gov/rss.xml,,Democrat,N000002,6/13/47,26159,male,https://www.govtrack.us/congress/members/jerrold_nadler/400289,N00000939,26980,RepJerryNadler,congressmannadler,202-225-5635,representative,,,NY,Rep.,Representative,https://nadler.house.gov,
Grace,F.,Napolitano,"Napolitano, Grace (Rep.) [D-CA32]",Rep. Grace Napolitano [D-CA32],,,,115,,,TRUE,Representative for California's 32nd congressional district,32,1/3/17,1/3/19,1610 Longworth HOB; Washington DC 20515-0532,,202-225-0027,1610 Longworth House Office Building,http://napolitano.house.gov/rss.xml,,Democrat,N000179,12/4/36,57873,female,https://www.govtrack.us/congress/members/grace_napolitano/400290,N00006789,8393,GraceNapolitano,RepGraceNapolitano,202-225-5256,representative,,,CA,Rep.,Representative,https://napolitano.house.gov,
Richard,E.,Neal,"Neal, Richard (Rep.) [D-MA1]",Rep. Richard Neal [D-MA1],,,,115,,,TRUE,Representative for Massachusetts's 1st congressional district,1,1/3/17,1/3/19,341 Cannon HOB; Washington DC 20515-2101,,202-225-8112,341 Cannon House Office Building,http://neal.house.gov/index.php?format=feed&amp;type=rss,,Democrat,N000015,2/14/49,6103,male,https://www.govtrack.us/congress/members/richard_neal/400291,N00000153,26895,RepRichardNeal,RepRichardENeal,202-225-5601,representative,,,MA,Rep.,Representative,https://neal.house.gov,
