id,title,short_title,api_uri,first_name,middle_name,last_name,date_of_birth,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct
L000575,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/L000575.json,James,,Lankford,1968-03-04,R,,SenatorLankford,SenatorLankford,SenatorLankford,412464,1033847,124938,21166,N00031129,/m/0dgrrx6,https://www.lankford.senate.gov/,,http://www.lankford.senate.gov/contact/email,true,0.562,,3,2022,208,0,0,ocd-division/country:us/state:ok,316 Hart Senate Office Building,202-224-5754,,OK,3,junior,S378,0,97.6
L000577,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/L000577.json,Mike,,Lee,1971-06-04,R,,SenMikeLee,senatormikelee,senatormikelee,412495,9267977,66395,41110,N00031696,/m/09v5q9x,https://www.lee.senate.gov/public/,https://www.lee.senate.gov/public/?a=rss.feed,https://www.lee.senate.gov/public/index.cfm/contact,true,0.921,,7,2022,208,1,0,ocd-division/country:us/state:ut,361a Russell Senate Office Building,202-224-5444,,UT,3,junior,S346,0.48,91.79
M000133,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/M000133.json,Edward,J.,Markey,1946-07-11,D,,SenMarkey,EdJMarkey,RepMarkey,400253,260,26900,14435,N00000270,/m/028vr4,https://www.markey.senate.gov/,https://www.markey.senate.gov/rss/feeds/,https://www.markey.senate.gov/contact,true,-0.5,,5,2020,208,1,1,ocd-division/country:us/state:ma,255 Dirksen Senate Office Building,202-224-2742,,MA,2,junior,S369,0.48,88.89
M000303,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/M000303.json,John,,McCain,1936-08-29,R,,SenJohnMcCain,johnmccain,SenatorJohnMcCain,300071,7476,53270,15039,N00006424,/m/0bymv,https://www.mccain.senate.gov/,https://www.mccain.senate.gov/public/?a=rss.feed,https://www.mccain.senate.gov/public/index.cfm/contact-form,true,0.381,,31,2022,208,17,0,ocd-division/country:us/state:az,218 Russell Senate Office Building,202-224-2235,202-228-2862,AZ,3,senior,S197,8.17,93.19
M000355,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/M000355.json,Mitch,,McConnell,1942-02-20,R,Majority Leader,McConnellPress,mitchmcconnell,,300072,2351,53298,14921,N00003389,/m/01z6ls,https://www.mcconnell.senate.gov/,https://www.mcconnell.senate.gov/public/?a=RSS.Feed,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,true,0.404,,33,2020,208,0,1,ocd-division/country:us/state:ky,317 Russell Senate Office Building,202-224-2541,202-224-2499,KY,2,senior,S174,0,98.08
M000639,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/M000639.json,Robert,,Menendez,1954-01-01,D,,SenatorMenendez,senatormenendez,SenatorMenendezNJ,400272,29608,26961,29373,N00000699,/m/033d3p,https://www.menendez.senate.gov/,https://www.menendez.senate.gov/rss/feeds/?press,https://www.menendez.senate.gov/contact,true,-0.36,,12,2018,208,24,1,ocd-division/country:us/state:nj,528 Hart Senate Office Building,202-224-4744,202-228-2197,NJ,1,senior,S306,11.54,93.48
M000934,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/M000934.json,Jerry,,Moran,1954-05-29,R,,JerryMoran,jerrymoran,senatorjerrymoran,400284,45469,542,29722,N00005282,/m/024s8t,https://www.moran.senate.gov/,https://www.moran.senate.gov/public/?a=rss.feed,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,true,0.412,,7,2022,208,9,0,ocd-division/country:us/state:ks,521 Dirksen Senate Office Building,202-224-6521,202-228-6966,KS,3,junior,S347,4.33,97.49
M001111,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/M001111.json,Patty,,Murray,1950-10-11,D,Assistant Leader,PattyMurray,,SenatorPattyMurray,300076,25277,53358,49308,N00007876,/m/018qx5,https://www.murray.senate.gov/public/,https://www.murray.senate.gov/public/?a=RSS.Feed,http://www.murray.senate.gov/public/index.cfm/contactme,true,-0.342,,25,2022,208,0,1,ocd-division/country:us/state:wa,154 Russell Senate Office Building,202-224-2621,202-224-0238,WA,3,senior,S229,0,96.63
M001153,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/M001153.json,Lisa,,Murkowski,1957-05-22,R,,LisaMurkowski,SenLisaMurkowski,senatormurkowski,300075,1004138,15841,40300,N00026050,/m/0202kt,https://www.murkowski.senate.gov/,,https://www.murkowski.senate.gov/public/index.cfm/contact,true,0.208,,17,2022,208,8,0,ocd-division/country:us/state:ak,522 Hart Senate Office Building,202-224-6665,202-224-5301,AK,3,senior,S288,3.85,94
M001169,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/M001169.json,Christopher,S.,Murphy,1973-08-03,D,,ChrisMurphyCT,chrismurphyct,senchrismurphy,412194,1021270,17189,20707,N00027566,/m/0cy_dh,https://www.murphy.senate.gov/,https://www.murphy.senate.gov/rss/feeds/?press,http://www.murphy.senate.gov/contact,true,-0.311,,5,2018,208,2,1,ocd-division/country:us/state:ct,136 Hart Senate Office Building,202-224-4041,202-225-5933,CT,1,junior,S364,0.96,94.66
M001170,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/M001170.json,Claire,,McCaskill,1953-07-24,D,,McCaskillOffice,senatormccaskill,SenatorMcCaskill,412243,1012014,2109,40701,N00027694,/m/040_w4,https://www.mccaskill.senate.gov/,https://www.mccaskill.senate.gov/rss/feeds/?type=all,http://www.mccaskill.senate.gov/contact,true,-0.147,,11,2018,208,4,1,ocd-division/country:us/state:mo,503 Hart Senate Office Building,202-224-6154,202-228-6326,MO,1,senior,S312,1.92,86.76
M001176,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/M001176.json,Jeff,,Merkley,1956-10-24,D,,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,412325,1029842,23644,40908,N00029303,/m/026k60f,https://www.merkley.senate.gov/,https://www.merkley.senate.gov/rss/feeds/,http://www.merkley.senate.gov/contact/,true,-0.436,,9,2020,208,2,1,ocd-division/country:us/state:or,313 Hart Senate Office Building,202-224-3753,202-228-3997,OR,2,junior,S322,0.96,86.89
M001183,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/M001183.json,Joe,,Manchin III,1947-08-24,D,,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,412391,62864,7547,40915,N00032838,/m/04lc5t,https://www.manchin.senate.gov/public/,https://www.manchin.senate.gov/public/index.cfm/rss/feed,http://www.manchin.senate.gov/public/index.cfm/contact-form,true,-0.063,,9,2018,208,0,0,ocd-division/country:us/state:wv,306 Hart Senate Office Building,202-224-3954,202-228-0002,WV,1,senior,S338,0,75.48
N000032,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/N000032.json,Bill,,Nelson,1942-09-29,D,,SenBillNelson,,senbillnelson,300078,1931,1606,14651,N00009926,/m/01_pb_,https://www.billnelson.senate.gov/,https://www.billnelson.senate.gov/rss.xml,https://www.billnelson.senate.gov/contact-bill,true,-0.192,,17,2018,208,6,1,ocd-division/country:us/state:fl,716 Hart Senate Office Building,202-224-5274,202-228-2183,FL,1,senior,S282,2.88,90.1
P000449,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/P000449.json,Rob,,Portman,1955-12-19,R,,SenRobPortman,senrobportman,SenRobPortman,400325,31819,27008,29386,N00003682,/m/0343xg,https://www.portman.senate.gov/,https://www.portman.senate.gov/public/index.cfm/rss/feed,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,true,0.375,,7,2022,208,2,0,ocd-division/country:us/state:oh,448 Russell Senate Office Building,202-224-3353,,OH,3,junior,S349,0.96,97.09
P000595,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/P000595.json,Gary,,Peters,1958-12-01,D,,SenGaryPeters,SenGaryPeters,RepGaryPeters,412305,50199,8749,20923,N00029277,/m/02x0lnt,https://www.peters.senate.gov/,,https://www.peters.senate.gov/contact/email-gary,true,-0.232,,3,2020,208,3,1,ocd-division/country:us/state:mi,724 Hart Senate Office Building,202-224-6221,202-226-2356,MI,2,junior,S380,1.44,94.63
P000603,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/P000603.json,Rand,,Paul,1963-01-07,R,,,SenatorRandPaul,SenatorRandPaul,412492,9265241,117285,41104,N00030836,/m/05pdb7q,https://www.paul.senate.gov/,https://www.paul.senate.gov/rss/feeds/,https://www.paul.senate.gov/connect/email-rand,true,0.882,,7,2022,208,4,0,ocd-division/country:us/state:ky,167 Russell Senate Office Building,202-224-4343,202-228-1373,KY,3,junior,S348,1.92,86.27
P000612,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/P000612.json,David,,Perdue,1949-12-10,R,,sendavidperdue,SenatorDavidPerdue,,412666,75920,151330,41501,N00035516,/m/03wp8v4,https://www.perdue.senate.gov/,,https://www.perdue.senate.gov/connect/email,true,0.659,,3,2020,208,1,1,ocd-division/country:us/state:ga,383 Russell Senate Office Building,202-224-3521,,GA,2,junior,S379,0.48,98.55
R000122,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/R000122.json,Jack,,Reed,1949-11-12,D,,SenJackReed,SenJackReed,SenatorReed,300081,24239,27060,29142,N00000362,/m/0202mc,https://www.reed.senate.gov/,https://www.reed.senate.gov/rss/feeds/?type=press,https://www.reed.senate.gov/contact/,true,-0.39,,21,2020,208,0,1,ocd-division/country:us/state:ri,728 Hart Senate Office Building,202-224-4642,202-224-4680,RI,2,senior,S259,0,94.71
R000307,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/R000307.json,Pat,,Roberts,1936-04-20,R,,SenPatRoberts,SenPatRoberts,SenPatRoberts,300083,16354,26866,14852,N00005285,/m/01_pdv,https://www.roberts.senate.gov/,https://www.roberts.senate.gov/public/index.cfm?a=RSS.Feed,https://www.roberts.senate.gov/public/?p=EmailPat,true,0.415,,21,2020,208,0,0,ocd-division/country:us/state:ks,109 Hart Senate Office Building,202-224-4774,202-224-3514,KS,2,senior,S260,0,99.04
R000584,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/R000584.json,Jim,,Risch,1943-05-03,R,,SenatorRisch,,SenatorJamesRisch,412322,1020034,2919,40902,N00029441,/m/06y9p0,https://www.risch.senate.gov/,https://www.risch.senate.gov/public/?a=rss.feed,http://www.risch.senate.gov/public/index.cfm?p=Email,true,0.631,,9,2020,208,1,0,ocd-division/country:us/state:id,483 Russell Senate Office Building,202-224-2752,202-224-2573,ID,2,junior,S323,0.48,97.1
R000595,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/R000595.json,Marco,,Rubio,1971-05-28,R,,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,412491,87599,1601,41102,N00030612,/m/0dpr5f,https://www.rubio.senate.gov/,https://www.rubio.senate.gov/public/?a=rss.feed,http://www.rubio.senate.gov/public/index.cfm/contact,true,0.59,,7,2022,208,13,0,ocd-division/country:us/state:fl,284 Russell Senate Office Building,202-224-3041,202-228-0285,FL,3,junior,S350,6.25,98.46
R000605,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/R000605.json,Mike,,Rounds,1954-10-24,R,,SenatorRounds,SenatorMikeRounds,,412669,78317,7455,41505,N00035187,/m/020z2p,https://www.rounds.senate.gov/,,https://www.rounds.senate.gov/contact/email-mike,true,0.382,,3,2020,208,0,0,ocd-division/country:us/state:sd,502 Hart Senate Office Building,202-224-5842,,SD,2,junior,S381,0,99.04
S000033,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/S000033.json,Bernard,,Sanders,1941-09-08,I,,SenSanders,senatorsanders,senatorsanders,400357,994,27110,29147,N00000528,/m/01_gbv,https://www.sanders.senate.gov/,https://www.sanders.senate.gov/rss/feeds/?type=all,,true,-0.51,,11,2018,208,6,1,ocd-division/country:us/state:vt,,202-224-5141,,VT,1,junior,S313,2.88,80.69
S000148,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/S000148.json,Charles,E.,Schumer,1950-11-23,D,Minority Leader,SenSchumer,senschumer,SenatorSchumer,300087,5929,26976,14858,N00001093,/m/01w74d,https://www.schumer.senate.gov/,,https://www.schumer.senate.gov/contact/email-chuck,true,-0.35,,19,2022,208,0,1,ocd-division/country:us/state:ny,322 Hart Senate Office Building,202-224-6542,202-228-3027,NY,3,senior,S270,0,93.75
S000320,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/S000320.json,Richard,C.,Shelby,1934-05-06,R,,SenShelby,RichardShelby,SenatorRichardShelby,300089,1859,53266,94659,N00009920,/m/020yj1,https://www.shelby.senate.gov/,https://www.shelby.senate.gov/public/?a=rss.feed,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,true,0.433,,31,2022,208,1,0,ocd-division/country:us/state:al,304 Russell Senate Office Building,202-224-5744,202-224-3416,AL,3,senior,S184,0.48,99.03
S000770,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/S000770.json,Debbie,,Stabenow,1950-04-29,D,Policy Committee Chair,SenStabenow,,senatorstabenow,300093,45451,515,29732,N00004118,/m/01xh64,https://www.stabenow.senate.gov/,,http://www.stabenow.senate.gov/?p=contact,true,-0.327,,17,2018,208,3,1,ocd-division/country:us/state:mi,731 Hart Senate Office Building,202-224-4822,202-228-0325,MI,1,senior,S284,1.44,94.63
S001141,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/S001141.json,Jeff,,Sessions,1946-12-24,R,,SenatorSessions,jeffsessions,SenatorSessions,300088,44441,,49700,,/m/020yjg,http://www.sessions.senate.gov/public,,,false,0.549,,21,2020,60,39,2,ocd-division/country:us/state:al,,202-224-4124,,AL,2,,S261,65,90.48
S001181,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/S001181.json,Jeanne,,Shaheen,1947-01-28,D,,SenatorShaheen,SenatorShaheen,senatorshaheen,412323,22850,1663,40906,N00024790,/m/01rrm2,https://www.shaheen.senate.gov/,,https://www.shaheen.senate.gov/contact/contact-jeanne,true,-0.272,,9,2020,208,1,1,ocd-division/country:us/state:nh,506 Hart Senate Office Building,202-224-2841,202-228-3194,NH,2,senior,S324,0.48,95.17
S001184,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/S001184.json,Tim,,Scott,1965-09-19,R,,SenatorTimScott,SenatorTimScott,SenatorTimScott,412471,623506,11940,21173,N00031782,/m/0c407g6,https://www.scott.senate.gov/,https://www.scott.senate.gov/rss.xml,https://www.scott.senate.gov/contact/email-me,true,0.669,,5,2022,208,1,0,ocd-division/country:us/state:sc,717 Hart Senate Office Building,202-224-6121,202-225-3407,SC,3,junior,S365,0.48,98.07
S001194,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/S001194.json,Brian,,Schatz,1972-10-20,D,,SenBrianSchatz,SenBrianSchatz,senbrianschatz,412507,87784,17852,41112,N00028138,/m/0dd109,https://www.schatz.senate.gov/,https://www.schatz.senate.gov/rss/feeds/?press,https://www.schatz.senate.gov/contact,true,-0.389,,5,2022,208,3,1,ocd-division/country:us/state:hi,722 Hart Senate Office Building,202-224-3934,202-228-1153,HI,3,senior,S353,1.44,92.2
S001197,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/S001197.json,Ben,,Sasse,1972-02-22,R,,SenSasse,SenatorSasse,,412671,77429,150182,41503,N00035544,/m/0j5wk_6,https://www.sasse.senate.gov/public/,https://www.sasse.senate.gov/public/?a=rss.feed,http://www.sasse.senate.gov/public/index.cfm/email-ben,true,0.833,,3,2020,208,4,0,ocd-division/country:us/state:ne,136 Russell Senate Office Building,202-224-4224,,NE,2,junior,S382,1.92,95.59
S001198,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/S001198.json,Dan,,Sullivan,1964-11-13,R,,SenDanSullivan,SenDanSullivan,,412665,1023262,114964,41500,N00035774,/m/07s4r4q,https://www.sullivan.senate.gov/,,https://www.sullivan.senate.gov/contact/email,true,0.46,,3,2020,208,10,0,ocd-division/country:us/state:ak,702 Hart Senate Office Building,202-224-3004,,AK,2,junior,S383,4.81,98.99
S001202,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/S001202.json,Luther,,Strange,1953-03-01,R,,SenatorStrange,SenatorLutherStrange,,412734,9278255,121424,,N00040607,/m/06w5pjw,https://www.strange.senate.gov/,,https://www.strange.senate.gov/content/contact-senator,true,,,1,2020,148,9,0,ocd-division/country:us/state:al,326 Russell Senate Office Building,202-224-4124,202-224-3149,AL,2,junior,S392,6.08,97.84
T000250,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/T000250.json,John,,Thune,1961-01-07,R,Conference Chair,SenJohnThune,,johnthune,400546,45552,398,29754,N00004572,/m/03ybyn,https://www.thune.senate.gov/,https://www.thune.senate.gov/public/?a=RSS.Feed,http://www.thune.senate.gov/public/index.cfm/contact,true,0.409,,13,2022,208,0,0,ocd-division/country:us/state:sd,511 Dirksen Senate Office Building,202-224-2321,202-228-5429,SD,3,senior,S303,0,99.04
T000461,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/T000461.json,Patrick,J.,Toomey,1961-11-17,R,,SenToomey,senatortoomey,sentoomey,400408,7958,24096,29935,N00001489,/m/02_kk7,https://www.toomey.senate.gov/,https://www.toomey.senate.gov/rss/,https://www.toomey.senate.gov/?p=contact,true,0.63,,7,2022,208,7,0,ocd-division/country:us/state:pa,248 Russell Senate Office Building,202-224-4254,202-228-0284,PA,3,junior,S351,3.37,96.52
T000464,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/T000464.json,Jon,,Tester,1956-08-21,D,,SenatorTester,senatortester,senatorjontester,412244,1020176,20928,40702,N00027605,/m/066cdp,https://www.tester.senate.gov/,https://www.tester.senate.gov/rss/,https://www.tester.senate.gov/?p=email_senator,true,-0.214,,11,2018,208,0,0,ocd-division/country:us/state:mt,311 Hart Senate Office Building,202-224-2644,202-224-8594,MT,1,senior,S314,0,88.94
T000476,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/T000476.json,Thom,,Tillis,1960-08-30,R,,senthomtillis,SenatorThomTillis,,412668,77055,57717,41504,N00035492,/m/0fq0395,https://www.tillis.senate.gov/public/,https://www.tillis.senate.gov/public/?a=rss.feed,https://www.tillis.senate.gov/public/index.cfm/email-me,true,0.441,,3,2020,208,10,0,ocd-division/country:us/state:nc,185 Dirksen Senate Office Building,202-224-6342,,NC,2,junior,S384,4.81,99.49
U000039,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/U000039.json,Tom,,Udall,1948-05-18,D,,SenatorTomUdall,senatortomudall,senatortomudall,400413,10075,22658,29924,N00006561,/m/033t35,https://www.tomudall.senate.gov/,,https://www.tomudall.senate.gov/?p=contact,true,-0.456,,10,2020,208,4,1,ocd-division/country:us/state:nm,531 Hart Senate Office Building,202-224-6621,202-228-3261,NM,2,senior,S326,1.92,90.69
V000128,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/V000128.json,Chris,,Van Hollen,1959-01-10,D,,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,400415,20756,6098,20330,N00013820,/m/025kb5,https://www.vanhollen.senate.gov/,,https://www.vanhollen.senate.gov/content/contact-senator,true,-0.4,,1,2022,208,2,1,ocd-division/country:us/state:md,110 Hart Senate Office Building,202-224-4654,202-225-0375,MD,3,junior,S390,0.96,96.6
W000437,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/W000437.json,Roger,,Wicker,1951-07-05,R,,SenatorWicker,SenatorWicker,SenatorWicker,400432,18203,21926,29534,N00003280,/m/025xxb,https://www.wicker.senate.gov/,https://www.wicker.senate.gov/public/?a=rss.feed,https://www.wicker.senate.gov/public/index.cfm/contact,true,0.376,,11,2018,208,1,0,ocd-division/country:us/state:ms,555 Dirksen Senate Office Building,202-224-6253,202-228-0378,MS,1,junior,S318,0.48,98.07
W000779,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/W000779.json,Ron,,Wyden,1949-05-03,D,,RonWyden,,senronwyden,300100,1962,27036,14871,N00007724,/m/0178p9,https://www.wyden.senate.gov/,,https://www.wyden.senate.gov/contact/,true,-0.314,,22,2022,208,0,2,ocd-division/country:us/state:or,221 Dirksen Senate Office Building,202-224-5244,202-228-2717,OR,3,senior,S247,0,89.9
W000802,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/W000802.json,Sheldon,,Whitehouse,1955-10-20,D,,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,412247,92235,2572,40704,N00027533,/m/07qw94,https://www.whitehouse.senate.gov/,https://www.whitehouse.senate.gov/rss/feeds/?type=all&cachebuster=1,,true,-0.428,,11,2018,208,0,1,ocd-division/country:us/state:ri,,202-224-2921,,RI,1,junior,S316,0,94.71
W000805,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/W000805.json,Mark,,Warner,1954-12-15,D,,MarkWarner,MarkRWarner,SenatorMarkWarner,412321,7630,535,40909,N00002097,/m/024mm1,https://www.warner.senate.gov/,https://www.warner.senate.gov/public/?a=RSS.Feed,http://www.warner.senate.gov/public/index.cfm?p=Contact,true,-0.197,,9,2020,208,4,1,ocd-division/country:us/state:va,703 Hart Senate Office Building,202-224-2023,202-224-6295,VA,2,senior,S327,1.92,85.78
W000817,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/W000817.json,Elizabeth,,Warren,1949-06-22,D,,SenWarren,senatorelizabethwarren,senelizabethwarren,412542,1023023,141272,41301,N00033492,/m/01qh39,https://www.warren.senate.gov/,https://www.warren.senate.gov/rss/,https://www.warren.senate.gov/?p=email_senator,true,-0.738,,5,2018,208,0,1,ocd-division/country:us/state:ma,317 Hart Senate Office Building,202-224-4543,202-228-2072,MA,1,senior,S366,0,81.73
Y000064,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/Y000064.json,Todd,,Young,1972-08-24,R,,RepToddYoung,SenatorToddYoung,RepToddYoung,412428,1033743,120345,21133,N00030670,/m/0ds030m,https://www.young.senate.gov/,,https://www.young.senate.gov/content/contact-senator,true,0.489,,1,2022,208,2,0,ocd-division/country:us/state:in,B33 Russell Senate Office Building,202-224-5623,202-226-6866,IN,3,junior,S391,0.96,98.06
